Point,Corner,Icode,Qcode,Pass/Fail,/Qbit<1>,/Qbit<2>,/Qbit<3>,/Qbit<4>,/QCLK,/ICLK,Vout,QVout,IVout,Vout FFT,Vout magnitude,Vout phase,H1 magnitude,H1 phase
1,nom,0,0,,,,,,,,,,,,,,15.14e-6,-96.33
2,nom,0,1,,,,,,,,,,,,,,138.6e-3,8.519
3,nom,0,3,,,,,,,,,,,,,,279.4e-3,12.89
4,nom,0,7,,,,,,,,,,,,,,420.9e-3,17.06
5,nom,0,15,,,,,,,,,,,,,,559.4e-3,18.54
6,nom,1,0,,,,,,,,,,,,,,138.6e-3,98.52
7,nom,1,1,,,,,,,,,,,,,,189.7e-3,53.66
8,nom,1,3,,,,,,,,,,,,,,310.4e-3,37.79
9,nom,1,7,,,,,,,,,,,,,,449.3e-3,33.55
10,nom,1,15,,,,,,,,,,,,,,585.1e-3,31.13
11,nom,3,0,,,,,,,,,,,,,,279.4e-3,102.9
12,nom,3,1,,,,,,,,,,,,,,292.2e-3,76.82
13,nom,3,3,,,,,,,,,,,,,,374.7e-3,58.26
14,nom,3,7,,,,,,,,,,,,,,495.6e-3,49.03
15,nom,3,15,,,,,,,,,,,,,,620.8e-3,43.55
16,nom,7,0,,,,,,,,,,,,,,421.1e-3,107.1
17,nom,7,1,,,,,,,,,,,,,,412.1e-3,89.55
18,nom,7,3,,,,,,,,,,,,,,463.4e-3,73.36
19,nom,7,7,,,,,,,,,,,,,,561.5e-3,62.38
20,nom,7,15,,,,,,,,,,,,,,671.1e-3,55.02
21,nom,15,0,,,,,,,,,,,,,,559.4e-3,108.5
22,nom,15,1,,,,,,,,,,,,,,540.5e-3,95.44
23,nom,15,3,,,,,,,,,,,,,,573.1e-3,82.17
24,nom,15,7,,,,,,,,,,,,,,652e-3,71.62
25,nom,15,15,,,,,,,,,,,,,,746.9e-3,63.8

